0, 9088
1, 4404
0, 672
1, 456
0, 676
1, 1584
0, 644
1, 484
0, 648
1, 484
0, 648
1, 484
0, 648
1, 480
0, 676
1, 460
0, 644
1, 1608
0, 672
1, 1592
0, 644
1, 484
0, 648
1, 1612
0, 644
1, 1616
0, 672
1, 456
0, 648
1, 1608
0, 652
1, 1612
0, 644
1, 484
0, 644
1, 1616
0, 648
1, 1608
0, 644
1, 488
0, 648
1, 1612
0, 644
1, 1612
0, 648
1, 1612
0, 648
1, 484
0, 672
1, 1588
0, 644
1, 484
0, 648
1, 484
0, 648
1, 1612
0, 644
1, 492
0, 640
1, 484
0, 672
1, 460
0, 644
1, 1612
0, 652
1, 480
0, 648
1, 41300
0, 9060
1, 2184
0, 644
